ASX code,Company name,Security type,ISIN code
8IH,8I HOLDINGS LTD,CHESS DEPOSITARY INTERESTS 1:1,AU0000008IH1
8EC,8IP EMERG CO LTD,ORDINARY FULLY PAID,AU0000008EC1
8ECO,8IP EMERG CO LTD,OPTION EXPIRING 12-DEC-2016,AU000008ECO5
8ECXX,8IP EMERG CO LTD,INITIAL PUBLIC OFFER,AU00008ECXX3
NWG01,90 WEST,HENDERSON GLOBAL NATURAL RESOURCES FUND,AU60ETL03315
NNW,99 WUXIAN LTD,CHESS DEPOSITARY INTERESTS 1:1,AU000000NNW3
NNWAA,99 WUXIAN LTD,ORDINARY FULLY PAID,AU0000NNWAA1
ACB,A-CAP RESOURCES,ORDINARY FULLY PAID,AU000000ACB7
ACBNB,A-CAP RESOURCES,ORDINARY FULLY PAID DEFERRED,AU0000ACBNB6
ACBAQ,A-CAP RESOURCES,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000ACBAQ1
APE,A.P. EAGERS LIMITED,ORDINARY FULLY PAID,AU000000APE3
APEAA,A.P. EAGERS LIMITED,OPTION EXPIRING VARIOUS DATES EX $5.4652,AU0000APEAA1
APEAB,A.P. EAGERS LIMITED,OPTION EXPIRING VARIOUS DATES EX $5.65,AU0000APEAB9
APEAC,A.P. EAGERS LIMITED,OPTION EXPIRING VARIOUS EX $6.26,AU0000APEAC7
APEAI,A.P. EAGERS LIMITED,OPTION EXPIRING 28-AUG-2016 EX $1.824,AU0000APEAI4
APEAM,A.P. EAGERS LIMITED,PERFORMANCE RIGHTS,AU0000APEAM6
APEAU,A.P. EAGERS LIMITED,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000APEAU9
APEAK,A.P. EAGERS LIMITED,OPTION EXPIRING 30-SEP-2017 EX $1.824,AU0000APEAK0
APEAO,A.P. EAGERS LIMITED,OPTION EXPIRING 27-JAN-2017 EX $2.42,AU0000APEAO2
APEAQ,A.P. EAGERS LIMITED,OPTION EXPIRING 27-JAN-2017 EX $2.52,AU0000APEAQ7
APEAS,A.P. EAGERS LIMITED,OPTION EXPIRING 27-MAR-2020 EX $5.0375,AU0000APEAS3
AYC,A1 GOLD LTD,ORDINARY FULLY PAID,AU000000AYC9
AYCO,A1 GOLD LTD,OPTION EXPIRING 30-NOV-2019,AU00000AYCO5
AYCAA,A1 GOLD LTD,OPTION EXPIRING 30-NOV-2019 EX 5C,AU0000AYCAA7
AYCAC,A1 GOLD LTD,OPTION EXPIRING 30-NOV-2019 EX 4.5C,AU0000AYCAC3
AYCAB,A1 GOLD LTD,CONV NOTES MATURING 25-AUG-2018,AU0000AYCAB5
AYI,A1 INVEST & RES LTD,ORDINARY FULLY PAID,AU000000AYI6
AAT,AAT CORPORATION LTD,ORDINARY FULLY PAID,AU000000AAT3
ABP,ABACUS PROPERTY GRP.,UNITS/ORDINARY FULLY PAID STAPLED SECURITIES,AU000000ABP9
ABPAI,ABACUS PROPERTY GRP.,STAPLED SECURITIES FULLY PAID DEFERRED,AU0000ABPAI0
AFZ01,ABERDEEN ASSETMGTLTD,ABERDEEN ASIAN OPPORTUNITIES FUND,AU60EQI00289
AFZ03,ABERDEEN ASSETMGTLTD,ABERDEEN EMERGING OPPORTUNITIES FUND,AU60ETL00329
AFZ04,ABERDEEN ASSETMGTLTD,ABERDEEN INTERNATIONAL EQUITY FUND,AU60EQI00156
AFZ18,ABERDEEN ASSETMGTLTD,ABERDEEN ACTIVELY HEDGED INT EQUITES FUND,AU60CRS00058
AFZ19,ABERDEEN ASSETMGTLTD,ABERDEEN EX-20 AUSTRALIAN EQUITIES FUND,AU60CRS00033
AFZ20,ABERDEEN ASSETMGTLTD,ABERDEEN AUSTRALIAN SMALL COMPANIES FUND,AU60CSA01318
AFZ21,ABERDEEN ASSETMGTLTD,ABERDEEN AUSTRALIAN FIXED INCOME FUND,AU60CRS00041
AFZ29,ABERDEEN ASSETMGTLTD,ABERDEEN DIVERSIFIED FIXED INCOME FUND,AU60CSA00625
AFZ30,ABERDEEN ASSETMGTLTD,ABERDEEN FULLY HEDGED INTERNATIONAL EQUITIES FUND,AU60CSA01359
ALR,ABERDEEN LEADERS,ORDINARY FULLY PAID,AU000000ALR4
ABL,ABILENE OIL & GAS,ORDINARY FULLY PAID,AU000000ABL8
ABLDA,ABILENE OIL & GAS,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000ABLDA0
ABLNB,ABILENE OIL & GAS,ORDINARY FULLY PAID DEFERRED,AU0000ABLNB7
ABLAA,ABILENE OIL & GAS,OPTION EXPIRING 31-OCT-2017 EX 8C,AU0000ABLAA6
ABU,ABM RESOURCES NL,ORDINARY FULLY PAID,AU000000ABU9
AEG,ABSOLUTE EQUITY PERF,ORDINARY FULLY PAID,AU000000AEG2
AEGXX,ABSOLUTE EQUITY PERF,INITIAL PUBLIC OFFER,AU0000AEGXX4
AEGAA,ABSOLUTE EQUITY PERF,OPTION EXPIRING 16-NOV-2017 EX $1.10,AU0000AEGAA0
ABT,ABUNDANT PRODUCE LTD,ORDINARY FULLY PAID,AU000000ABT1
AJC,ACACIA COAL LTD,ORDINARY FULLY PAID,AU000000AJC0
AJCAI,ACACIA COAL LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000AJCAI1
AJCAM,ACACIA COAL LTD,CLASS B PERFORMANCE SHARES EXPIRING 23-JUN-2014,AU0000AJCAM3
AKG,ACADEMIES AUS GRP,ORDINARY FULLY PAID,AU000000AKG9
AKGN,ACADEMIES AUS GRP,ORDINARY FULLY PAID DEFERRED,AU00000AKGN7
AXX,ACCC,ACCC,AU000000AXX7
ACS,ACCENT RESOURCES NL,ORDINARY FULLY PAID,AU000000ACS1
ACSAI,ACCENT RESOURCES NL,OPTION EXPIRING 01-DEC-2012 EX 20C,AU0000ACSAI2
ACX,ACONEX LIMITED,ORDINARY FULLY PAID,AU000000ACX1
ACXAA,ACONEX LIMITED,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000ACXAA9
ACQ,ACORN CAP INV FUND,ORDINARY FULLY PAID,AU000000ACQ5
ACR,ACRUX LIMITED,ORDINARY FULLY PAID,AU000000ACR3
ACRAB,ACRUX LIMITED,OPTION EXPIRING VARIOUS EX VARIOUS,AU0000ACRAB9
ACW,ACTINOGEN MEDICAL,ORDINARY FULLY PAID,AU000000ACW3
ACWXX,ACTINOGEN MEDICAL,PLACEMENT,AU0000ACWXX5
ACWAI,ACTINOGEN MEDICAL,OPTION EXPIRING 30-NOV-2018 EX 2C,AU0000ACWAI4
AIV,ACTIVEX LIMITED,ORDINARY FULLY PAID,AU000000AIV2
AIVAI,ACTIVEX LIMITED,OPTION EXPIRING 31-JAN-2017 EX 3C,AU0000AIVAI3
AIVAO,ACTIVEX LIMITED,OPTION EXPIRING 31-AUG-2016 EX 6C,AU0000AIVAO1
ACU,ACTIVISTIC LTD,ORDINARY FULLY PAID,AU000000ACU7
ACUDA,ACTIVISTIC LTD,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000ACUDA9
ACUDC,ACTIVISTIC LTD,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000ACUDC5
ACUXX,ACTIVISTIC LTD,INITIAL PUBLIC OFFER,AU0000ACUXX9
ACUAA,ACTIVISTIC LTD,ORDINARY FULLY PAID RESTRICTED,AU0000ACUAA5
ACUAC,ACTIVISTIC LTD,ORDINARY FULLY PAID RESTRICTED,AU0000ACUAC1
ACUAE,ACTIVISTIC LTD,ORDINARY FULLY PAID RESTRICTED,AU0000ACUAE7
ACUAI,ACTIVISTIC LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000ACUAI8
ACUAJ,ACTIVISTIC LTD,PERFORMANCE RIGHTS,AU0000ACUAJ6
