ASX code,Company name,Security type,ISIN code
FOXIOI,CITIWARRANTS (CGMA),CITIWARRANTS 30.00 FOX ROLLING INSTALMENT15-DEC-15,AU000FOXIOI5
FOXIOO,CITIWARRANTS (CGMA),CTW 21.50 FOX ROLLING INSTALMENT WARRANT 15-DEC-15,AU000FOXIOO3
FOXIOV,CITIWARRANTS (CGMA),CITIWARRANTS 21.50 FOX ROLLING INSTALMENT 01-MAY-1,AU000FOXIOV8
FOXIOZ,CITIWARRANTS (CGMA),CTW 30.00 FOX ROLLING INSTALMENT WARRANT 15-DEC-15,AU000FOXIOZ9
FXEKOA,CITIWARRANTS (CGMA),CITIWARRANTS 0.6213 FXE MINI LONG,AU000FXEKOA9
FXEKOB,CITIWARRANTS (CGMA),CITIWARRANTS 0.6123 FXE MINI LONG EXPIRING,AU000FXEKOB7
FXEKOF,CITIWARRANTS (CGMA),CITIWARRANTS 0.6386 FXE MINI LONG EXPIRING,AU000FXEKOF8
FXEKOG,CITIWARRANTS (CGMA),CITIWARRANTS 0.6002 FXE MINI LONG,AU000FXEKOG6
FXJDOV,CITIWARRANTS (CGMA),CTW 0.50 FXJ ROLLING INSTALMENT WARRANT 15-DEC-17,AU000FXJDOV9
FXJIOL,CITIWARRANTS (CGMA),CITIWARRANTS 0.85 FXJ ROLLING INSTALMENT 20-MAY-16,AU000FXJIOL9
FXJIOO,CITIWARRANTS (CGMA),CTW 0.35 FXJ ROLLING INSTALMENT WARRANT 15-DEC-15,AU000FXJIOO3
FXJIOV,CITIWARRANTS (CGMA),CTW 0.50 FXJ ROLLING INSTALMENT WARRANT 15-DEC-17,AU000FXJIOV8
FXJKOA,CITIWARRANTS (CGMA),CITIWARRANTS 0.3016 FXJ MINI LONG,AU000FXJKOA8
FXJKOD,CITIWARRANTS (CGMA),CITIWARRANTS 0.6342 FXJ MINI LONG,AU000FXJKOD2
FXJKOF,CITIWARRANTS (CGMA),CITIWARRANTS 0.4808 FXJ MINI LONG,AU000FXJKOF7
FXJKOG,CITIWARRANTS (CGMA),CITIWARRANTS 0.7197 FXJ MINI LONG,AU000FXJKOG5
FXLKOA,CITIWARRANTS (CGMA),CITIWARRANTS 1.818 FXL MINI LONG,AU000FXLKOA4
FXLKOF,CITIWARRANTS (CGMA),CITIWARRANTS 1.3458 FXL MINI LONG,AU000FXLKOF3
FXPKOA,CITIWARRANTS (CGMA),CITIWARRANTS 0.44 FXP MINI LONG,AU000FXPKOA5
FXPKOB,CITIWARRANTS (CGMA),CITIWARRANTS 0.459 AUD/GBP FXP CURRENCY MINI LONG,AU000FXPKOB3
FXPKOC,CITIWARRANTS (CGMA),CITIWARRANTS 0.4587 FXP MINI LONG,AU000FXPKOC1
FXPKOE,CITIWARRANTS (CGMA),CITIWARRANTS 0.4542 FXP MINI LONG,AU000FXPKOE7
FXUKOA,CITIWARRANTS (CGMA),CITIWARRANTS 0.6929 FXU MINI LONG,AU000FXUKOA5
FXUKOC,CITIWARRANTS (CGMA),CITIWARRANTS 0.6372 FXU MINI LONG,AU000FXUKOC1
FXUKOE,CITIWARRANTS (CGMA),CITIWARRANTS 0.6899 FXU MINI LONG EXPIRING,AU000FXUKOE7
FXUKOF,CITIWARRANTS (CGMA),CITIWARRANTS 0.6828 FXU MINI LONG EXPIRING,AU000FXUKOF4
FXUKOH,CITIWARRANTS (CGMA),CITIWARRANTS 0.6723 FXU MINI LONG EXPIRING,AU000FXUKOH0
FXUKOI,CITIWARRANTS (CGMA),CITIWARRANTS 0.6816 FXU MINI LONG,AU000FXUKOI8
FXUKOJ,CITIWARRANTS (CGMA),CITIWARRANTS 0.6677 FXU MINI LONG,AU000FXUKOJ6
FXUKOK,CITIWARRANTS (CGMA),CITIWARRANTS 0.6577 FXU MINI LONG,AU000FXUKOK4
FXUKOL,CITIWARRANTS (CGMA),CITIWARRANTS 0.6494 FXU MINI LONG,AU000FXUKOL2
FXUKOM,CITIWARRANTS (CGMA),CITIWARRANTS 0.6283 FXU MINI LONG,AU000FXUKOM0
FXUQOA,CITIWARRANTS (CGMA),CITIWARRANTS 0.6364 FXU MINI LONG,AU000FXUQOA2
FXYKOA,CITIWARRANTS (CGMA),CITIWARRANTS 75.292 FXY MINI LONG,AU000FXYKOA7
FXYKOC,CITIWARRANTS (CGMA),CITIWARRANTS 80.1062 FXY MINI LONG,AU000FXYKOC3
FXYKOM,CITIWARRANTS (CGMA),CITIWARRANTS 78.1738 FXY MINI LONG,AU000FXYKOM2
FXZKOA,CITIWARRANTS (CGMA),CITIWARRANTS 1.0415 FXZ MINI LONG,AU000FXZKOA4
FXZKOB,CITIWARRANTS (CGMA),CITIWARRANTS 1.0297 FXZ MINI LONG,AU000FXZKOB2
FXZKOE,CITIWARRANTS (CGMA),CITIWARRANTS 1.0501 FXZ MINI LONG,AU000FXZKOE6
GEMJOE,CITIWARRANTS (CGMA),CITIWARRANTS 2.4284 GEM 14-APR-20 INSTAL MINI,AU000GEMJOE4
GEMJOF,CITIWARRANTS (CGMA),CITIWARRANTS 2.1115 GEM 14-APR-20 INSTAL MINI,AU000GEMJOF1
GEMJOG,CITIWARRANTS (CGMA),CITIWARRANTS 1.7948 GEM 14-APR-20 INSTAL MINI,AU000GEMJOG9
GEMKOC,CITIWARRANTS (CGMA),CITIWARRANTS 2.3435 GEM MINI LONG,AU000GEMKOC6
GEMKOF,CITIWARRANTS (CGMA),CITIWARRANTS 2.7536 GEM MINI LONG,AU000GEMKOF9
GMAKOA,CITIWARRANTS (CGMA),CITIWARRANTS 1.1105 GMA MINI LONG,AU000GMAKOA8
GMAKOB,CITIWARRANTS (CGMA),CITIWARRANTS 1.7475 GMA MINI LONG,AU000GMAKOB6
GMGKOF,CITIWARRANTS (CGMA),CITIWARRANTS 5.3615 GMG MINI LONG,AU000GMGKOF4
GMGKON,CITIWARRANTS (CGMA),CITIWARRANTS 5.2442 GMG MINI LONG,AU000GMGKON8
GNCKOA,CITIWARRANTS (CGMA),CITIWARRANTS 6.0023 GNC MINI LONG,AU000GNCKOA2
GNCKOC,CITIWARRANTS (CGMA),CITIWARRANTS 7.3371 GNC MINI LONG,AU000GNCKOC8
GNCKOE,CITIWARRANTS (CGMA),CITIWARRANTS 6.9055 GNC MINI LONG,AU000GNCKOE4
GNCKOF,CITIWARRANTS (CGMA),CITIWARRANTS 6.4623 GNC MINI LONG,AU000GNCKOF1
GPTKOB,CITIWARRANTS (CGMA),CITIWARRANTS 4.1798 GPT MINI LONG EXPIRING,AU000GPTKOB9
GPTKOC,CITIWARRANTS (CGMA),CITIWARRANTS 3.9477 GPT MINI LONG,AU000GPTKOC7
GPTKOD,CITIWARRANTS (CGMA),CITIWARRANTS 4.1642 GPT MINI LONG,AU000GPTKOD5
GTYJOM,CITIWARRANTS (CGMA),CITIWARRANTS 1.503 GTY 20-JAN-21 INSTAL MINI,AU000GTYJOM0
GTYJON,CITIWARRANTS (CGMA),CITIWARRANTS 1.9038 GTY 20-JAN-21 INSTAL MINI,AU000GTYJON8
GWAKOA,CITIWARRANTS (CGMA),CITIWARRANTS 1.4228 GWA MINI LONG,AU000GWAKOA7
HFRJOG,CITIWARRANTS (CGMA),CITIWARRANTS 0.8369 HFR 14-APR-20 INSTAL MINI,AU000HFRJOG3
HFRJOH,CITIWARRANTS (CGMA),CITIWARRANTS 0.7323 HFR 14-APR-20 INSTAL MINI,AU000HFRJOH1
HFRJOM,CITIWARRANTS (CGMA),CITIWARRANTS 1.002 HFR 20-JAN-21 INSTAL MINI,AU000HFRJOM1
HFRJOT,CITIWARRANTS (CGMA),CITIWARRANTS 0.6181 HFR 14-APR-20 INSTAL MINI,AU000HFRJOT6
HGGKOA,CITIWARRANTS (CGMA),CITIWARRANTS 4.2985 HGG MINI LONG,AU000HGGKOA5
HGGKOD,CITIWARRANTS (CGMA),CITIWARRANTS 4.7384 HGG MINI LONG,AU000HGGKOD9
HSOJOE,CITIWARRANTS (CGMA),CITIWARRANTS 1.7837 HSO 14-APR-20 INSTAL MINI,AU000HSOJOE8
HSOKOB,CITIWARRANTS (CGMA),CITIWARRANTS 2.158 HSO MINI LONG EXPIRING,AU000HSOKOB2
HSOKOC,CITIWARRANTS (CGMA),CITIWARRANTS 1.8893 HSO MINI LONG,AU000HSOKOC0
HSOKOD,CITIWARRANTS (CGMA),CITIWARRANTS 1.5411 HSO MINI LONG,AU000HSOKOD8
HSXKOA,CITIWARRANTS (CGMA),CITIWARRANTS 18136.8008 HSX FUTURES INDEX MINI L,AU000HSXKOA5
HSXKOB,CITIWARRANTS (CGMA),CITIWARRANTS 17636.984 HSX FUTURES INDEX MINI L,AU000HSXKOB3
HSXKOC,CITIWARRANTS (CGMA),CITIWARRANTS 16683.6769 HSX FUTURES INDEX MINI L,AU000HSXKOC1
HSXKOD,CITIWARRANTS (CGMA),CITIWARRANTS 16276.069 HSX FUTURES INDEX MINI L,AU000HSXKOD9
HVNKOA,CITIWARRANTS (CGMA),CITIWARRANTS 3.2376 HVN MINI LONG,AU000HVNKOA0
HVNKOB,CITIWARRANTS (CGMA),CITIWARRANTS 3.6805 HVN MINI LONG,AU000HVNKOB8
HVNKOD,CITIWARRANTS (CGMA),CITIWARRANTS 3.4129 HVN MINI LONG,AU000HVNKOD4
HVSJOE,CITIWARRANTS (CGMA),CITIWARRANTS 12.5542 HVST 14-APR-20 INSTAL MINI,AU000HVSJOE3
HVSSO1,CITIWARRANTS (CGMA),CITIWARRANT 9.6591 HVST SELF FUND INSTAL (S/L) 14,AU000HVSSO16
HVSSO2,CITIWARRANTS (CGMA),CITIWARRANT 12.6845 HVST SELF FUND INSTAL (S/L) 14,AU000HVSSO24
IAAIOM,CITIWARRANTS (CGMA),CTW 37.50 IAA ROLLING INSTALMENT WARRANT 20-MAY-16,AU000IAAIOM8
IAAJOM,CITIWARRANTS (CGMA),CITIWARRANTS 33.0028 IAA 30-MAY-19 INSTAL MINI,AU000IAAJOM6
IAGDOV,CITIWARRANTS (CGMA),CITIWARRANTS 3.00 IAG ROLLING INSTALMENT 15-DEC-17,AU000IAGDOV7
IAGDOZ,CITIWARRANTS (CGMA),CTW 4.50 IAG ROLLING INSTALMENT WARRANT 15-DEC-17,AU000IAGDOZ8
IAGIOA,CITIWARRANTS (CGMA),CTW 3.00 IAG ROLLING INSTALMENT WARRANT 21-OCT-16,AU000IAGIOA0
IAGIOI,CITIWARRANTS (CGMA),CITIWARRANTS 4.85 IAG ROLLING INSTALMENT 15-DEC-15,AU000IAGIOI3
IAGIOL,CITIWARRANTS (CGMA),CITIWARRANTS 5.00 IAG ROLLING INSTALMENT 20-MAY-16,AU000IAGIOL7
IAGIOO,CITIWARRANTS (CGMA),CTW 3.90 IAG ROLLING INSTALMENT WARRANT 15-DEC-15,AU000IAGIOO1
IAGIOV,CITIWARRANTS (CGMA),CITIWARRANTS 3.00 IAG ROLLING INSTALMENT 15-DEC-17,AU000IAGIOV6
IAGIOZ,CITIWARRANTS (CGMA),CTW 4.50 IAG ROLLING INSTALMENT WARRANT 15-DEC-17,AU000IAGIOZ7
IAGKOA,CITIWARRANTS (CGMA),CITIWARRANTS 4.729 IAG MINI LONG EXPIRING,AU000IAGKOA6
IAGKOB,CITIWARRANTS (CGMA),CITIWARRANTS 4.3853 IAG MINI LONG,AU000IAGKOB4
IAGKOC,CITIWARRANTS (CGMA),CITIWARRANTS 4.0805 IAG MINI LONG,AU000IAGKOC2
IAGKOF,CITIWARRANTS (CGMA),CITIWARRANTS 3.7148 IAG MINI LONG,AU000IAGKOF5
IAGSOE,CITIWARRANTS (CGMA),CITIWARRANTS 3.1708 IAG SELF FUND INSTAL 23-JUN-16,AU000IAGSOE1
IEMIOM,CITIWARRANTS (CGMA),CTW 30.50 IEM ROLLING INSTALMENT WARRANT 20-MAY-16,AU000IEMIOM5
IEMJOM,CITIWARRANTS (CGMA),CITIWARRANTS 26.5104 IEM 30-MAY-19 INSTAL MINI,AU000IEMJOM3
IEUJOE,CITIWARRANTS (CGMA),CITIWARRANTS 31.1461 IEU 14-APR-20 INSTAL MINI,AU000IEUJOE3
IEUJOF,CITIWARRANTS (CGMA),CITIWARRANTS 49.3682 IEU 14-APR-20 I/MINI EXPIRING,AU000IEUJOF0
IEUJOM,CITIWARRANTS (CGMA),CITIWARRANTS 28.0566 IEU 20-JAN-21 INSTAL MINI,AU000IEUJOM6
IGOKOA,CITIWARRANTS (CGMA),CITIWARRANTS 1.0613 IGO MINI LONG,AU000IGOKOA7
IGOKOB,CITIWARRANTS (CGMA),CITIWARRANTS 0.6084 IGO MINI LONG,AU000IGOKOB5
IGOKOD,CITIWARRANTS (CGMA),CITIWARRANTS 1.5664 IGO MINI LONG,AU000IGOKOD1
IHDSO1,CITIWARRANTS (CGMA),CITIWARRANTS 7.5577 IHD SELF FUND INSTAL (S/L) 06-,AU000IHDSO10
ILCIO2,CITIWARRANTS (CGMA),CTW 11.50 ILC ROLLING INSTALMENT WARRANT 04-NOV-16,AU000ILCIO25
ILCSO1,CITIWARRANTS (CGMA),CITIWARRANTS 13.2837 ILC SELF FUND INSTAL (S/L) 14,AU000ILCSO15
ILUJOP,CITIWARRANTS (CGMA),CITIWARRANTS 4.3403 ILU 30-MAY-19 INSTAL MINI,AU000ILUJOP4
ILUKOB,CITIWARRANTS (CGMA),CITIWARRANTS 4.9826 ILU MINI LONG,AU000ILUKOB2
ILUKOC,CITIWARRANTS (CGMA),CITIWARRANTS 4.7514 ILU MINI LONG EXPIRING,AU000ILUKOC0
ILUKOD,CITIWARRANTS (CGMA),CITIWARRANTS 2.8971 ILU MINI LONG,AU000ILUKOD8
ILUKOE,CITIWARRANTS (CGMA),CITIWARRANTS 3.7957 ILU MINI LONG,AU000ILUKOE6
ILUKOF,CITIWARRANTS (CGMA),CITIWARRANTS 3.3671 ILU MINI LONG,AU000ILUKOF3
ILUKOH,CITIWARRANTS (CGMA),CITIWARRANTS 4.2392 ILU MINI LONG,AU000ILUKOH9
IOOIOM,CITIWARRANTS (CGMA),CTW 56.00 IOO ROLLING INSTALMENT WARRANT 20-MAY-16,AU000IOOIOM0
IOOSO1,CITIWARRANTS (CGMA),CITIWARRANTS 53.5771 IOO SELF FUND INSTAL (S/L) 06,AU000IOOSO18
IOZSO1,CITIWARRANTS (CGMA),CITIWARRANTS 11.7519 IOZ SELF FUND INSTAL (S/L) 06,AU000IOZSO15
IPLKOA,CITIWARRANTS (CGMA),CITIWARRANTS 2.9657 IPL MINI LONG EXPIRING,AU000IPLKOA4
IPLKOB,CITIWARRANTS (CGMA),CITIWARRANTS 3.1934 IPL MINI LONG EXPIRING,AU000IPLKOB2
IPLKOF,CITIWARRANTS (CGMA),CITIWARRANTS 2.633 IPL MINI LONG,AU000IPLKOF3
IPLKOG,CITIWARRANTS (CGMA),CITIWARRANTS 2.1873 IPL MINI LONG,AU000IPLKOG1
IPLKOH,CITIWARRANTS (CGMA),CITIWARRANTS 2.7937 IPL MINI LONG EXPIRING,AU000IPLKOH9
IPLSOE,CITIWARRANTS (CGMA),CITIWARRANTS 1.8096 IPL SELF FUND INSTAL 23-JUN-16,AU000IPLSOE9
ISOJOM,CITIWARRANTS (CGMA),CITIWARRANTS 2.1642 ISO 30-MAY-19 INSTAL MINI,AU000ISOJOM9
IVCKOA,CITIWARRANTS (CGMA),CITIWARRANTS 9.5397 IVC MINI LONG EXPIRING,AU000IVCKOA1
IVCKOB,CITIWARRANTS (CGMA),CITIWARRANTS 7.5456 IVC MINI LONG,AU000IVCKOB9
IVCKOC,CITIWARRANTS (CGMA),CITIWARRANTS 9.7079 IVC MINI LONG EXPIRING,AU000IVCKOC7
IVCKOD,CITIWARRANTS (CGMA),CITIWARRANTS 9.0701 IVC MINI LONG,AU000IVCKOD5
IVCKOF,CITIWARRANTS (CGMA),CITIWARRANTS 8.3006 IVC MINI LONG,AU000IVCKOF0
IVEJOE,CITIWARRANTS (CGMA),CITIWARRANTS 46.0322 IVE 14-APR-20 INSTAL MINI,AU000IVEJOE1
IVVSO1,CITIWARRANTS (CGMA),CITIWARRANTS 142.2206 IVV SELF FUND INSTAL (S/L) 0,AU000IVVSO10
IVVSOB,CITIWARRANTS (CGMA),CITIWARRANTS 285.2404 IVV SELF FUND INSTAL 24-JUN-,AU000IVVSOB2
IVVSOG,CITIWARRANTS (CGMA),CITIWARRANTS 110.1425 IVV SELF FUND INSTAL 13-DEC-,AU000IVVSOG1
IVVSOH,CITIWARRANTS (CGMA),CITIWARRANTS 155.2358 IVV SELF FUND INSTAL 23-JUN-,AU000IVVSOH9
IXIIOM,CITIWARRANTS (CGMA),CTW 68.00 IXI ROLLING INSTALMENT WARRANT 20-MAY-16,AU000IXIIOM3
IXJIOM,CITIWARRANTS (CGMA),CTW 78.00 IXJ ROLLING INSTALMENT WARRANT 20-MAY-16,AU000IXJIOM1
IZZJOM,CITIWARRANTS (CGMA),CITIWARRANTS 32.1052 IZZ 30-MAY-19 INSTAL MINI,AU000IZZJOM0
JBHJOP,CITIWARRANTS (CGMA),CITIWARRANTS 9.223 JBH 30-MAY-19 INSTAL MINI,AU000JBHJOP0
JBHJOQ,CITIWARRANTS (CGMA),CITIWARRANTS 11.9355 JBH 30-MAY-19 INSTAL MINI,AU000JBHJOQ8
JBHJOT,CITIWARRANTS (CGMA),CITIWARRANTS 14.4225 JBH 14-APR-20 INSTAL MINI,AU000JBHJOT2
JBHKOB,CITIWARRANTS (CGMA),CITIWARRANTS 20.2729 JBH MINI LONG EXPIRING,AU000JBHKOB8
JBHKOC,CITIWARRANTS (CGMA),CITIWARRANTS 19.9608 JBH MINI LONG,AU000JBHKOC6
JBHKOD,CITIWARRANTS (CGMA),CITIWARRANTS 5.2341 JBH MINI LONG,AU000JBHKOD4
JBHKOE,CITIWARRANTS (CGMA),CITIWARRANTS 19.2813 JBH MINI LONG,AU000JBHKOE2
JBHKOF,CITIWARRANTS (CGMA),CITIWARRANTS 16.9527 JBH MINI LONG EXPIRING,AU000JBHKOF9
JBHSO1,CITIWARRANTS (CGMA),CITIWARRANTS 8.5723 JBH SELF FUND INSTAL (S/L) 06-,AU000JBHSO11
JHXKOA,CITIWARRANTS (CGMA),CITIWARRANTS 15.0848 JHX MINI LONG EXPIRING,AU000JHXKOA4
JHXKOB,CITIWARRANTS (CGMA),CITIWARRANTS 14.35 JHX MINI LONG,AU000JHXKOB2
JHXKOF,CITIWARRANTS (CGMA),CITIWARRANTS 9.8386 JHX MINI LONG,AU000JHXKOF3
JHXQOA,CITIWARRANTS (CGMA),CITIWARRANTS 14.2944 JHX MINI LONG EXPIRING,AU000JHXQOA1
KARKOA,CITIWARRANTS (CGMA),CITIWARRANTS 1.2711 KAR MINI LONG,AU000KARKOA9
KARKOC,CITIWARRANTS (CGMA),CITIWARRANTS 1.0514 KAR MINI LONG,AU000KARKOC5
KARKOD,CITIWARRANTS (CGMA),CITIWARRANTS 0.8003 KAR MINI LONG,AU000KARKOD3
KARKOH,CITIWARRANTS (CGMA),CITIWARRANTS 1.2703 KAR MINI LONG EXPIRING,AU000KARKOH4
LLCDOV,CITIWARRANTS (CGMA),CTW 6.50 LLC ROLLING INSTALMENT WARRANT 15-DEC-17,AU000LLCDOV7
LLCIOM,CITIWARRANTS (CGMA),CTW 9.25 LLC ROLLING INSTALMENT WARRANT 20-MAY-16,AU000LLCIOM5
LLCIOO,CITIWARRANTS (CGMA),CTW 6.70 LLC ROLLING INSTALMENT WARRANT 15-DEC-15,AU000LLCIOO1
LLCIOV,CITIWARRANTS (CGMA),CTW 6.50 LLC ROLLING INSTALMENT WARRANT 15-DEC-17,AU000LLCIOV6
LLCKOA,CITIWARRANTS (CGMA),CITIWARRANTS 10.9017 LLC MINI LONG,AU000LLCKOA6
LLCKOC,CITIWARRANTS (CGMA),CITIWARRANTS 11.1895 LLC MINI LONG,AU000LLCKOC2
LLCQOB,CITIWARRANTS (CGMA),CITIWARRANTS 10.283 LLC MINI LONG,AU000LLCQOB1
LLCQOC,CITIWARRANTS (CGMA),CITIWARRANTS 10.5856 LLC MINI LONG,AU000LLCQOC9
LLCSO1,CITIWARRANTS (CGMA),CITIWARRANTS 8.7399 LLC SELF FUND INSTAL (S/L) 06-,AU000LLCSO10
LLCSOE,CITIWARRANTS (CGMA),CITIWARRANTS 3.5331 LLC SELF FUND INSTAL 23-JUN-16,AU000LLCSOE1
LNGKOA,CITIWARRANTS (CGMA),CITIWARRANTS 0.9083 LNG MINI LONG EXPIRING,AU000LNGKOA3
LNGKOB,CITIWARRANTS (CGMA),CITIWARRANTS 0.573 LNG MINI LONG,AU000LNGKOB1
LNGKOC,CITIWARRANTS (CGMA),CITIWARRANTS 0.4825 LNG MINI LONG,AU000LNGKOC9
LNGKOF,CITIWARRANTS (CGMA),CITIWARRANTS 0.7179 LNG MINI LONG EXPIRING,AU000LNGKOF2
MFFJOH,CITIWARRANTS (CGMA),CITIWARRANTS 0.8981 MFF 12-DEC-17 INSTAL MINI,AU000MFFJOH6
MFGJOP,CITIWARRANTS (CGMA),CITIWARRANTS 11.2368 MFG 30-MAY-19 INSTAL MINI,AU000MFGJOP7
MFGJOT,CITIWARRANTS (CGMA),CITIWARRANTS 13.7014 MFG 14-APR-20 INSTAL MINI,AU000MFGJOT9
MFGKOA,CITIWARRANTS (CGMA),CITIWARRANTS 14.459 MFG MINI LONG,AU000MFGKOA7
MFGKOC,CITIWARRANTS (CGMA),CITIWARRANTS 17.322 MFG MINI LONG,AU000MFGKOC3
MFGKOD,CITIWARRANTS (CGMA),CITIWARRANTS 11.355 MFG MINI LONG,AU000MFGKOD1
MFGSO1,CITIWARRANTS (CGMA),CITIWARRANTS 10.2486 MFG SELF FUND INSTAL (S/L) 05,AU000MFGSO13
MGRKOB,CITIWARRANTS (CGMA),CITIWARRANTS 1.6411 MGR MINI LONG,AU000MGRKOB0
MGRKOC,CITIWARRANTS (CGMA),CITIWARRANTS 1.4854 MGR MINI LONG,AU000MGRKOC8
MGRKOD,CITIWARRANTS (CGMA),CITIWARRANTS 1.0402 MGR MINI LONG,AU000MGRKOD6
MGXKOJ,CITIWARRANTS (CGMA),CITIWARRANTS 0.1127 MGX MINI LONG,AU000MGXKOJ1
MGXKOK,CITIWARRANTS (CGMA),CITIWARRANTS 0.0869 MGX MINI LONG,AU000MGXKOK9
MGXKON,CITIWARRANTS (CGMA),CITIWARRANTS 0.0658 MGX MINI LONG,AU000MGXKON3
MINJOB,CITIWARRANTS (CGMA),CITIWARRANTS 6.097 MIN 26-SEP-13 INS EXPIRING,AU000MINJOB7
MINKOA,CITIWARRANTS (CGMA),CITIWARRANTS 2.1729 MIN MINI LONG,AU000MINKOA7
MINKOC,CITIWARRANTS (CGMA),CITIWARRANTS 3.5444 MIN MINI LONG,AU000MINKOC3
MINQOE,CITIWARRANTS (CGMA),CITIWARRANTS 2.9552 MIN MINI LONG EXPIRING,AU000MINQOE6
MLTJOH,CITIWARRANTS (CGMA),CITIWARRANTS 2.3429 MLT 12-DEC-17 INSTAL MINI,AU000MLTJOH5
MMLKOC,CITIWARRANTS (CGMA),CITIWARRANTS 0.2378 MML MINI LONG,AU000MMLKOC9
MMSKOA,CITIWARRANTS (CGMA),CITIWARRANTS 4.0422 MMS MINI LONG,AU000MMSKOA8
MMSKOB,CITIWARRANTS (CGMA),CITIWARRANTS 3.3227 MMS MINI LONG,AU000MMSKOB6
MMSKOC,CITIWARRANTS (CGMA),CITIWARRANTS 4.6384 MMS MINI LONG,AU000MMSKOC4
MMSKOE,CITIWARRANTS (CGMA),CITIWARRANTS 5.9268 MMS MINI LONG,AU000MMSKOE0
MNDKOA,CITIWARRANTS (CGMA),CITIWARRANTS 5.3983 MND MINI LONG,AU000MNDKOA8
MNDKOD,CITIWARRANTS (CGMA),CITIWARRANTS 5.5966 MND MINI LONG EXPIRING,AU000MNDKOD2
MNDKOF,CITIWARRANTS (CGMA),CITIWARRANTS 3.6207 MND MINI LONG,AU000MNDKOF7
MPLIOA,CITIWARRANTS (CGMA),CTW 1.70 MPL ROLLING INSTALMENT WARRANT 21-OCT-16,AU000MPLIOA0
MPLJOP,CITIWARRANTS (CGMA),CITIWARRANTS 1.8446 MPL 30-MAY-19 INSTAL MINI,AU000MPLJOP6
MPLJOQ,CITIWARRANTS (CGMA),CITIWARRANTS 1.3021 MPL 30-MAY-19 INSTAL MINI,AU000MPLJOQ4
MPLKOA,CITIWARRANTS (CGMA),CITIWARRANTS 1.9531 MPL MINI LONG,AU000MPLKOA6
MPLKOC,CITIWARRANTS (CGMA),CITIWARRANTS 2.1891 MPL MINI LONG,AU000MPLKOC2
MPLKOD,CITIWARRANTS (CGMA),CITIWARRANTS 1.9311 MPL MINI LONG EXPIRING,AU000MPLKOD0
MPLKOE,CITIWARRANTS (CGMA),CITIWARRANTS 1.8139 MPL MINI LONG,AU000MPLKOE8
MPLSO1,CITIWARRANTS (CGMA),CITIWARRANTS 1.3521 MPL SELF FUND INSTAL (S/L) 06-,AU000MPLSO14
MQGDOV,CITIWARRANTS (CGMA),CITIWARRANTS 44.00 MQG ROLLING INSTALMNT 15-DEC-17,AU000MQGDOV5
MQGDOZ,CITIWARRANTS (CGMA),CTW 68.00 MQG ROLLING INSTALMENT WARRANT 15-DEC-17,AU000MQGDOZ6
MQGIO1,CITIWARRANTS (CGMA),CTW 39.00 MQG ROLLING INSTALMENT WARRANT 06-MAY-16,AU000MQGIO12
MQGIOA,CITIWARRANTS (CGMA),CTW 50.00 MQG ROLLING INSTALMENT WARRANT 21-OCT-16,AU000MQGIOA8
MQGIOI,CITIWARRANTS (CGMA),CITIWARRANTS 45.00 MQG ROLLING INSTALMENT15-DEC-15,AU000MQGIOI1
MQGIOL,CITIWARRANTS (CGMA),CITIWARRANTS 68.50 MQG ROLLING INSTALMENT 20-MAY-1,AU000MQGIOL5
MQGIOO,CITIWARRANTS (CGMA),CTW 33.00 MQG ROLLING INSTALMENT WARRANT 15-DEC-15,AU000MQGIOO9
MQGIOV,CITIWARRANTS (CGMA),CITIWARRANTS 44.00 MQG ROLLING INSTALMNT 15-DEC-17,AU000MQGIOV4
MQGIOZ,CITIWARRANTS (CGMA),CTW 68.00 MQG ROLLING INSTALMENT WARRANT 15-DEC-17,AU000MQGIOZ5
MQGJOE,CITIWARRANTS (CGMA),CITIWARRANTS 36.7031 MQG 14-APR-20 INSTAL MINI,AU000MQGJOE8
MQGJOF,CITIWARRANTS (CGMA),CITIWARRANTS 47.8713 MQG 14-APR-20 INSTAL MINI,AU000MQGJOF5
MQGJOJ,CITIWARRANTS (CGMA),CITIWARRANTS 62.103 MQG 31-MAY-18 INSTAL EXPIRING,AU000MQGJOJ7
MQGJOK,CITIWARRANTS (CGMA),CITIWARRANTS 34.1169 MQG 31-MAY-18 INSTAL MINI,AU000MQGJOK5
MQGJOP,CITIWARRANTS (CGMA),CITIWARRANTS 44.0403 MQG 30-MAY-19 INSTAL MINI,AU000MQGJOP4
MQGJOQ,CITIWARRANTS (CGMA),CITIWARRANTS 51.3684 MQG 30-MAY-19 INSTAL MINI,AU000MQGJOQ2
MQGKOA,CITIWARRANTS (CGMA),CITIWARRANTS 62.756 MQG MINI LONG EXPIRING,AU000MQGKOA4
MQGKOC,CITIWARRANTS (CGMA),CITIWARRANTS 65.9725 MQG MINI LONG EXPIRING,AU000MQGKOC0
MQGKOD,CITIWARRANTS (CGMA),CITIWARRANTS 61.2988 MQG MINI LONG EXPIRING,AU000MQGKOD8
MQGKOH,CITIWARRANTS (CGMA),CITIWARRANTS 70.9603 MQG MINI LONG EXPIRING,AU000MQGKOH9
MQGKOI,CITIWARRANTS (CGMA),CITIWARRANTS 45.4609 MQG MINI LONG,AU000MQGKOI7
